rule_id,rule_code,rule_type,rule_value,comparison_op,description,geo_scope
32,CX3ARC ST,4,2025-04-01 00:00:00,,,AUM
33,CX3ARC ST,11,2025-04-01 00:00:00,,,AUM
34,CX3ARC ST,10,2025-04-01 00:00:00,,,AUM
35,CX3ARC ST,6,2025-04-01 00:00:00,,,AUM - Bolt - On
36,CX3ARC ST,8,2025-04-01 00:00:00,,,AUM - Bolt - On
37,CX3ARC ST,7,2025-04-01 00:00:00,,,AUM - Bolt - On
38,CX3ARC ST,9,2025-04-01 00:00:00,,,AUM - Bolt - On
39,CX3ARC LT,1,2025-04-01 00:00:00,,,AUM
40,CX3ARC LT,3,2025-04-01 00:00:00,,,AUM
41,CX3ARC LT,2,2025-04-01 00:00:00,,,AUM
42,CX3ARC LT,4,2025-04-01 00:00:00,,,AUM
43,CX3ARC LT,13,2025-04-01 00:00:00,,,AUM
44,CX3ARC LT,12,2025-04-01 00:00:00,,,AUM
45,CX3ARC LT,6,2025-04-01 00:00:00,,,AUM - Bolt - On
46,CX3ARC LT,8,2025-04-01 00:00:00,,,AUM - Bolt - On
47,CX3ARC LT,7,2025-04-01 00:00:00,,,AUM - Bolt - On
48,CX3ARC LT,9,2025-04-01 00:00:00,,,AUM - Bolt - On
49,CX4ARC ST,1,2025-07-01 00:00:00,,,AUM
50,CX4ARC ST,3,2025-07-01 00:00:00,,,AUM
51,CX4ARC ST,2,2025-07-01 00:00:00,,,AUM
52,CX4ARC ST,4,2025-07-01 00:00:00,,,AUM
53,CX4ARC ST,11,2025-07-01 00:00:00,,,AUM
54,CX4ARC ST,10,2025-07-01 00:00:00,,,AUM
55,CX4ARC ST,6,2025-07-01 00:00:00,,,AUM - Bolt - On
56,CX4ARC ST,8,2025-07-01 00:00:00,,,AUM - Bolt - On
57,CX4ARC ST,7,2025-07-01 00:00:00,,,AUM - Bolt - On
58,CX4ARC ST,9,2025-07-01 00:00:00,,,AUM - Bolt - On
59,CX4ARC LT,1,2025-07-01 00:00:00,,,AUM
60,CX4ARC LT,3,2025-07-01 00:00:00,,,AUM
61,CX4ARC LT,2,2025-07-01 00:00:00,,,AUM
62,CX4ARC LT,4,2025-07-01 00:00:00,,,AUM
63,CX4ARC LT,13,2025-07-01 00:00:00,,,AUM
64,CX4ARC LT,12,2025-07-01 00:00:00,,,AUM
65,CX4ARC LT,6,2025-07-01 00:00:00,,,AUM - Bolt - On
66,CX4ARC LT,8,2025-07-01 00:00:00,,,AUM - Bolt - On
67,CX4ARC LT,7,2025-07-01 00:00:00,,,AUM - Bolt - On
68,CX4ARC LT,9,2025-07-01 00:00:00,,,AUM - Bolt - On
69,CX5ARC ST,1,2026-01-01 00:00:00,,,AUM
70,CX5ARC ST,3,2026-01-01 00:00:00,,,AUM
71,CX5ARC ST,2,2026-01-01 00:00:00,,,AUM
72,CX5ARC ST,4,2026-01-01 00:00:00,,,AUM
73,CX5ARC ST,11,2026-01-01 00:00:00,,,AUM
74,CX5ARC ST,10,2026-01-01 00:00:00,,,AUM
75,CX5ARC ST,6,2026-01-01 00:00:00,,,AUM - Bolt - On
76,CX5ARC ST,8,2026-01-01 00:00:00,,,AUM - Bolt - On
77,CX5ARC ST,7,2026-01-01 00:00:00,,,AUM - Bolt - On
78,CX5ARC ST,9,2026-01-01 00:00:00,,,AUM - Bolt - On
79,CX5ARC LT,1,2026-01-01 00:00:00,,,AUM
80,CX5ARC LT,3,2026-01-01 00:00:00,,,AUM
81,CX5ARC LT,2,2026-01-01 00:00:00,,,AUM
82,CX5ARC LT,4,2026-01-01 00:00:00,,,AUM
83,CX5ARC LT,13,2026-01-01 00:00:00,,,AUM
84,CX5ARC LT,12,2026-01-01 00:00:00,,,AUM
85,CX5ARC LT,6,2026-01-01 00:00:00,,,AUM - Bolt - On
86,CX5ARC LT,8,2026-01-01 00:00:00,,,AUM - Bolt - On
87,CX5ARC LT,7,2026-01-01 00:00:00,,,AUM - Bolt - On
88,CX5ARC LT,9,2026-01-01 00:00:00,,,AUM - Bolt - On
89,CX0COR,3,2025-10-01 00:00:00,,,CORE QS
90,CX0COR,5,2025-10-01 00:00:00,,,CORE QS
91,CX0COR,14,2025-10-01 00:00:00,,,CORE QS
92,CX0COR,16,2025-10-01 00:00:00,,,CORE QS
93,CE0COR,8,2025-10-01 00:00:00,,,CORE EB
94,CE0COR,14,2025-10-01 00:00:00,,,CORE EB
95,CE0COR,16,2025-10-01 00:00:00,,,CORE EB
96,CF0COR,3,2025-10-01 00:00:00,,,CORE FAC
97,CF0COR,15,2025-10-01 00:00:00,,,CORE FAC
98,CF0COR,17,2025-10-01 00:00:00,,,CORE FAC
99,XM1COR,18,2024-01-01 00:00:00,,,XOL
100,XM2COR,18,2024-01-01 00:00:00,,,XOL
101,XR1COR,19,2024-01-01 00:00:00,,,XOL
102,XC1COR,20,2024-01-01 00:00:00,,,XOL
103,XC2COR,20,2024-01-01 00:00:00,,,XOL
104,XC3COR,20,2024-01-01 00:00:00,,,XOL
105,XT1COR,21,2024-01-01 00:00:00,,,XOL
106,XT2COR,21,2024-01-01 00:00:00,,,XOL
