Column,Account Number,Internal ID,tranID,Summarize?,Department
Ceded Change in UEP,412001.0,1158.0,Underwriting Premium Entry,No,Underwriting : Underwriting
Direct Change In UEP,412001.0,1158.0,Underwriting Premium Entry,No,Underwriting : Underwriting
Ceded Commission,420001.0,1160.0,Underwriting Premium Entry,Yes,Underwriting : Underwriting
Ceded Commissions,420001.0,1160.0,Underwriting Premium Entry,Yes,Underwriting : Underwriting
Ceded Fronting Commission,420002.0,1161.0,Underwriting Premium Entry,Yes,Underwriting : Underwriting
Ceded Fronting Commissions,420002.0,1161.0,Underwriting Premium Entry,Yes,Underwriting : Underwriting
Ceded Broker Commission,420003.0,1162.0,Underwriting Premium Entry,Yes,Underwriting : Underwriting
Ceded Brokerage Commission,420003.0,1162.0,Underwriting Premium Entry,Yes,Underwriting : Underwriting
Ceded Brokerage Commission Revenue,420003.0,1162.0,Underwriting Premium Entry,Yes,Underwriting : Underwriting
Ceded Brokerage Fee,420003.0,1162.0,Underwriting Premium Entry,Yes,Underwriting : Underwriting
Ceded Change In DAC,450001.0,1254.0,Underwriting Premium Entry,Yes,Underwriting : Underwriting
Ceded Change in Fronting Fee DAC,450002.0,1730.0,Underwriting Premium Entry,Yes,Underwriting : Underwriting
Ceded Change In Brokerage Fee DAC,450003.0,1731.0,Underwriting Premium Entry,Yes,Underwriting : Underwriting
Ceded Paid Loss Indemnity,511001.0,854.0,Underwriting Claims Entry,Ceded,Underwriting : Underwriting
Direct Paid Loss Indemnity,511001.0,854.0,Underwriting Claims Entry,No,Underwriting : Underwriting
Ceded Salvage Received,511002.0,856.0,Underwriting Claims Entry,No,Underwriting : Underwriting
Direct Salvage Received,511002.0,856.0,Underwriting Claims Entry,No,Underwriting : Underwriting
Ceded Subrogation Received,511003.0,857.0,Underwriting Claims Entry,No,Underwriting : Underwriting
Direct Subrogation Received,511003.0,857.0,Underwriting Claims Entry,No,Underwriting : Underwriting
Ceded Paid DCC,512001.0,858.0,Underwriting Claims Entry,Ceded,Underwriting : Underwriting
Direct Paid DCC,512001.0,858.0,Underwriting Claims Entry,No,Underwriting : Underwriting
Ceded Paid LAE,512002.0,860.0,Underwriting Claims Entry,No,Underwriting : Underwriting
Direct Paid LAE,512002.0,860.0,Underwriting Claims Entry,No,Underwriting : Underwriting
Ceded Change In Loss Reserves,513001.0,862.0,Underwriting Claims Entry,No,Underwriting : Underwriting
Direct Change in Case Reserves,513001.0,862.0,Underwriting Claims Entry,No,Underwriting : Underwriting
Ceded Change In Indemnity IBNR Reserves,513002.0,864.0,Underwriting IBNR Entry,No,Underwriting : Underwriting
Direct Change In Indemnity IBNR,513002.0,864.0,Underwriting IBNR Entry,No,Underwriting : Underwriting
Ceded Change in ULAE IBNR,513003.0,1764.0,Underwriting IBNR Entry,No,Underwriting : Underwriting
Direct Change In ULAE IBNR,513003.0,1764.0,Underwriting IBNR Entry,No,Underwriting : Underwriting
Ceded Change In Salvage Case Reserves,513005.0,1742.0,Underwriting Claims Entry,No,Underwriting : Underwriting
Direct Change In Salvage Reserves,513005.0,1742.0,Underwriting Claims Entry,No,Underwriting : Underwriting
Ceded Change In Subrogation Case Reserves,513006.0,1743.0,Underwriting Claims Entry,No,Underwriting : Underwriting
Direct Change In Subrogation Reserves,513006.0,1743.0,Underwriting Claims Entry,No,Underwriting : Underwriting
Ceded Change In DCC Reserves,514001.0,866.0,Underwriting Claims Entry,No,Underwriting : Underwriting
Direct Change In DCC Reserves,514001.0,866.0,Underwriting Claims Entry,No,Underwriting : Underwriting
Ceded Change In DCC IBNR,514002.0,868.0,Underwriting IBNR Entry,No,Underwriting : Underwriting
Direct Change In DCC IBNR,514002.0,868.0,Underwriting IBNR Entry,No,Underwriting : Underwriting
Ceded Change In LAE Reserves,515001.0,870.0,Underwriting Claims Entry,No,Underwriting : Underwriting
Direct Change In LAE Reserves,515001.0,870.0,Underwriting Claims Entry,No,Underwriting : Underwriting
Ceded Change In A&O IBNR,515002.0,872.0,Underwriting IBNR Entry,No,Underwriting : Underwriting
Direct Change in A&O IBNR,515002.0,872.0,Underwriting IBNR Entry,No,Underwriting : Underwriting
Direct Commission Expense,520001.0,874.0,Underwriting Premium Entry,No,Underwriting : Underwriting
Direct Change In DAC,530001.0,876.0,Underwriting Premium Entry,Yes,Underwriting : Underwriting
Direct Fees,,,Underwriting Premium Entry,No,Underwriting : Underwriting
Ceded Change In Indemnity IBNR,513002.0,864.0,Underwriting IBNR Entry,No,Underwriting : Underwriting
